seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio,county
12,32,0.4,0.0001,8,2,9.982572340516807,1.6016956701888319,-8.380876670327975,0.3112060835848506,0.3211675795005199,0.9689834947501195,Kern
9,64,0.4,0.005,4,2,3.6359171848893426,1.6206503835219286,-2.0152668013674138,2.6537858260144334,1.7517647756513988,1.5149213312772631,Kern
9,32,0.1,0.0001,6,2,9.801489397072329,1.6250387102049104,-8.176450686867419,0.5769972234440502,1.7517647756513988,0.32938053753791924,Kern
12,8,0.3,0.005,4,1,2.5813372940724606,1.6271170940350097,-0.9542202000374509,1.7094503284512919,0.3211675795005199,5.322611737803145,Kern
12,16,0.3,0.005,4,1,2.5008960108329976,1.6473911051657153,-0.8535049056672823,0.43205380954895384,0.3211675795005199,1.3452597245988662,Kern
6,64,0.0,0.0001,6,2,9.031600304128103,1.6478862189751553,-7.383714085152948,3.128943053600897,4.662766479788639,0.6710486289981932,Kern
9,32,0.4,0.0001,8,2,10.270220291578216,1.6501300664924388,-8.620090225085777,0.19228011611271384,1.7517647756513988,0.10976366164299309,Kern
9,8,0.4,0.001,6,2,5.514539378891936,1.663087011250241,-3.851452367641695,1.0584962387618229,1.7517647756513988,0.6042456461474504,Kern
6,64,0.1,0.0001,6,1,9.228812916230567,1.6702663079021012,-7.558546608328466,3.577030984895302,4.662766479788639,0.7671477867056828,Kern
9,16,0.3,0.0001,8,1,10.534193746208173,1.6780855117242557,-8.856108234483917,0.395941898108616,1.7517647756513988,0.22602458024730168,Kern
9,8,0.4,0.0001,4,2,10.64372699382465,1.6938678223203376,-8.949859171504313,0.315347405748887,1.7517647756513988,0.1800169806654687,Kern
6,16,0.2,0.0001,4,2,10.231251039776076,1.701470316084144,-8.529780723691932,3.6041230470759453,4.662766479788639,0.7729580845831505,Kern
12,64,0.1,0.0001,8,2,8.219868397090444,1.7126646886896613,-6.507203708400783,0.33369301247930355,0.3211675795005199,1.0389996804729271,Kern
12,64,0.0,0.0001,4,2,6.247775730131296,1.722265111531337,-4.5255106185999585,0.7822837403241379,0.3211675795005199,2.4357494039116476,Kern
9,8,0.3,0.0005,6,1,9.352085584296093,1.7235704931190265,-7.628515091177066,0.5282974688798372,1.7517647756513988,0.3015801414795478,Kern
9,32,0.4,0.0001,4,1,9.060452170574283,1.7551445521060725,-7.305307618468211,0.666517366680501,1.7517647756513988,0.38048337079540523,Kern
6,16,0.1,0.0005,6,2,8.043181023160837,1.7567354669388906,-6.286445556221947,3.3976370552642434,4.662766479788639,0.7286740757856389,Kern
12,16,0.2,0.0005,6,2,5.532356309526969,1.7762875962246336,-3.756068713302336,0.4422658407571225,0.3211675795005199,1.3770563063835233,Kern
